origin city,origin country,destination country,destination city,total refugees
Tegucigalpa,Honduras,El Salvador,El Amatilo,371654.08789106674
San Pedro Sula,Honduras,Guatemala,Corinto,213800.86664561575
Choloma,Honduras,Guatemala,Corinto,60759.48186473657
La Ceiba,Honduras,Guatemala,Corinto,56879.78583366115
El Progreso,Honduras,Guatemala,Corinto,44034.24418967716
Ciudad Choluteca,Honduras,El Salvador,El Amatilo,33141.21788670951
Comayagua,Honduras,El Salvador,El Amatilo,25677.1055495088
Puerto Cortez,Honduras,Guatemala,Corinto,20972.286145015074
La Lima,Honduras,Guatemala,Corinto,20073.34284035923
Danlí,Honduras,Nicaragua,Frontera Las Manos,19568.397038521452
Siguatepeque,Honduras,El Salvador,El Amatilo,18844.175464605323
Juticalpa,Honduras,El Salvador,El Amatilo,14714.190554245262
Villanueva,Honduras,Guatemala,Corinto,13790.349402959011
Tocoa,Honduras,Guatemala,Corinto,13447.021202055466
Tela,Honduras,Guatemala,Corinto,12809.286884855499
Santa Rosa de Copán,Honduras,Guatemala,Aldea Caparja,12122.630483048411
Olanchito,Honduras,Guatemala,Corinto,11343.371563949273
San Lorenzo,Honduras,El Salvador,El Amatilo,9735.931641143878
Cofradía,Honduras,Guatemala,Corinto,8890.278464363648
El Paraíso,Honduras,Nicaragua,Frontera Las Manos,8202.748453902863
